name	games	sport	medal
Felix Drahotta	2008 Summer	Rowing	NA
Dorotheus Wilhelmus "Dave" Draijer	2008 Summer	Baseball	NA
Rok Draki	2008 Summer	Judo	NA
Gregory Alexander "Greg" Draper	2008 Summer	Football	NA
Warwick Draper	2008 Summer	Canoeing	NA
Yevgeny Yuryevich Drattsev	2008 Summer	Swimming	NA
Rita Drvucz	2008 Summer	Water Polo	NA
Rasa Drazdauskait	2008 Summer	Athletics	NA
Royston Ricky Drenthe	2008 Summer	Football	NA
Paul Drewes	2008 Summer	Rowing	NA
Johannes Jacobus Gerhardus "Hannes" Dreyer	2008 Summer	Athletics	NA
Jenna Louise Dreyer	2008 Summer	Diving	NA
Apolline Dreyfuss	2008 Summer	Synchronized Swimming	NA
Nicolaas "Nick" Driebergen	2008 Summer	Swimming	NA
Nicolaas "Nick" Driebergen	2008 Summer	Swimming	NA
Chaouki Dries	2008 Summer	Rowing	NA
Deena Michelle Drossin-Kastor	2008 Summer	Athletics	NA
Aleksey Vasilyevich Drozdov	2008 Summer	Athletics	NA
Tatyana Yevgenyevna Drozdovskaya	2008 Summer	Sailing	NA
Vladyslav Heorhiyovych Druzhchenko	2008 Summer	Badminton	NA
Monika Mariola Drybulska-Stefanowicz	2008 Summer	Athletics	NA
Alexander Mah Owens Drysdale	2008 Summer	Rowing	Bronze
Tara Chanel Drysdale (-Pickering)	2008 Summer	Hockey	NA
Danny D'Souza	2008 Summer	Athletics	NA
Du Feng	2008 Summer	Basketball	NA
Du Jing	2008 Summer	Badminton	Gold
Du Li	2008 Summer	Shooting	NA
Du Li	2008 Summer	Shooting	Gold
Adele du Plooy	2008 Summer	Fencing	NA
Adele du Plooy	2008 Summer	Fencing	NA
George du Rand	2008 Summer	Swimming	NA
George du Rand	2008 Summer	Swimming	NA
Natalie du Toit	2008 Summer	Swimming	NA
Diego Duarte Delgado	2008 Summer	Shooting	NA
Miguel Nuno Ralo Pereira Duarte	2008 Summer	Equestrianism	NA
Miguel Nuno Ralo Pereira Duarte	2008 Summer	Equestrianism	NA
Rodrigo Linck Duarte	2008 Summer	Sailing	NA
Sophie Duarte	2008 Summer	Athletics	NA
Yury Dubinin	2008 Summer	Wrestling	NA
Romana Dubnov (Block-)	2008 Summer	Athletics	NA
Hugues Duboscq	2008 Summer	Swimming	Bronze
Hugues Duboscq	2008 Summer	Swimming	Bronze
Hugues Duboscq	2008 Summer	Swimming	NA
Jessika Dubuc	2008 Summer	Synchronized Swimming	NA
Natalia Duc Soler	2008 Summer	Athletics	NA
Mauro Vinicius Hilario Loureno "Duda" da Silva	2008 Summer	Athletics	NA
Andrejs Dda	2008 Summer	Swimming	NA
Andrejs Dda	2008 Summer	Swimming	NA
Inga Dudchenko	2008 Summer	Rowing	NA
Alexandru Dudoglo	2008 Summer	Weightlifting	NA
Christopher Judemesa Duenas	2008 Summer	Swimming	NA
Crispin Nataniel Duenas	2008 Summer	Archery	NA
Crispin Nataniel Duenas	2008 Summer	Archery	NA
Brian Matthew Duensing	2008 Summer	Baseball	Bronze
Flora Jane Duffy	2008 Summer	Triathlon	NA
Albta Dufkov	2008 Summer	Synchronized Swimming	NA
Frdric Dufour	2008 Summer	Rowing	NA
Simon Dufour	2008 Summer	Swimming	NA
Laetitia Dugain	2008 Summer	Gymnastics	NA
Laetitia Dugain	2008 Summer	Gymnastics	NA
Laetitia Dugain	2008 Summer	Gymnastics	NA
Laetitia Dugain	2008 Summer	Gymnastics	NA
Laetitia Dugain	2008 Summer	Gymnastics	NA
Damir Dugonji	2008 Summer	Swimming	NA
Martine Dugrenier	2008 Summer	Wrestling	NA
Julio Elizardo Dujarric Lembcke	2008 Summer	Shooting	NA
Jolanta Dukure	2008 Summer	Athletics	NA
Gisela Alejandra Dulko (-Gago)	2008 Summer	Tennis	NA
Gisela Alejandra Dulko (-Gago)	2008 Summer	Tennis	NA
Troy Matthew Bek Dumais	2008 Summer	Diving	NA
Rare Dumitrescu	2008 Summer	Fencing	NA
Alina Alexandra Dumitru (-Croitoru)	2008 Summer	Judo	Gold
Franck Dumoulin	2008 Summer	Shooting	NA
Franck Dumoulin	2008 Summer	Shooting	NA
David Harvey	2008 Summer	Swimming	NA
Jason Edward Dunford	2008 Summer	Swimming	NA
Jason Edward Dunford	2008 Summer	Swimming	NA
Maria McQueen Dunn	2008 Summer	Wrestling	NA
Philip Martin Dunn	2008 Summer	Athletics	NA
Mary Beth Dunnichay	2008 Summer	Diving	NA
Alvydas Duonla	2008 Summer	Canoeing	NA
Imke Duplitzer	2008 Summer	Fencing	NA
Andrea Duran	2008 Summer	Softball	Silver
Cassius Ricardo Duran	2008 Summer	Diving	NA
Muna Kalameya Durka	2008 Summer	Athletics	NA
Olanrewaju Durodola	2008 Summer	Boxing	NA
Nadiya Dusanova	2008 Summer	Athletics	NA
Yogeshwar Dutt	2008 Summer	Wrestling	NA
Mara Beln Dutto	2008 Summer	Cycling	NA
Phillip Peter Dutton	2008 Summer	Equestrianism	NA
Phillip Peter Dutton	2008 Summer	Equestrianism	NA
Michael Steven "Mike" Duursma	2008 Summer	Baseball	NA
Jeremy Adam Duvendeck	2008 Summer	Cycling	NA
Giorvis Duvergel Rojas	2008 Summer	Baseball	Silver
Domagoj Duvnjak	2008 Summer	Handball	NA
Raminta Dvarikyt	2008 Summer	Swimming	NA
Galyna Volodymyrivna "Galia" Dvorak Khasanova	2008 Summer	Table Tennis	NA
Olena Dvornichenko	2008 Summer	Rhythmic Gymnastics	NA
Jamie Raymond Dwyer	2008 Summer	Hockey	Bronze
Yekaterina Vladimirovna Dyachenko	2008 Summer	Fencing	NA
Yekaterina Vladimirovna Dyachenko	2008 Summer	Fencing	NA
Aleksey Dyadchuk	2008 Summer	Canoeing	NA
Vladimir Fyodorovich Dyatchin	2008 Summer	Swimming	NA
Emmanuel Dyen	2008 Summer	Sailing	NA
Maksim Sergeyevich Dyldin	2008 Summer	Athletics	NA
Maksim Sergeyevich Dyldin	2008 Summer	Athletics	NA
Valeriy Volodymyrovych Dymo	2008 Summer	Swimming	NA
Valeriy Volodymyrovych Dymo	2008 Summer	Swimming	NA
Svetlana Aleksandrovna Dyomina (Yakimova-)	2008 Summer	Shooting	NA
Prince Octopus Dzanie	2008 Summer	Boxing	NA
Hanna Leonidivna Dzerkal	2008 Summer	Swimming	NA
Hanna Leonidivna Dzerkal	2008 Summer	Swimming	NA
Rumyana Dimitrova Dzhadzharova-Neykova	2008 Summer	Rowing	Gold
Galib Musayevich Dzhafarov	2008 Summer	Boxing	NA
Ruslan Mirzovych Dzhalilov	2008 Summer	Canoeing	NA
Talant Rysbekovich Dzhanagulov	2008 Summer	Judo	NA
Lada Vladimirovna Dzhiyenbalanova	2008 Summer	Modern Pentathlon	NA
Zinnura Dzhurayeva	2008 Summer	Judo	NA
Iwona Dzicio-Marcinkiewicz	2008 Summer	Archery	NA
Iwona Dzicio-Marcinkiewicz	2008 Summer	Archery	NA
Edyta Dzieniszewska-Kierkla	2008 Summer	Canoeing	NA
Brian Dzingai	2008 Summer	Athletics	NA
Mirza Domba	2008 Summer	Handball	NA
Robert "Robbie" Eastham	2008 Summer	Shooting	NA
Casey Eastham-Sablowski	2008 Summer	Hockey	NA
Kevin S. Eastler	2008 Summer	Athletics	NA
Eskild Balschmidt Ebbesen	2008 Summer	Rowing	Gold
Thomas Ebert	2008 Summer	Rowing	Gold
Onome Ebi	2008 Summer	Football	NA
Asghar Ebrahimi Farbad Kamachali	2008 Summer	Weightlifting	NA
Saeid Ebrahimi	2008 Summer	Wrestling	NA
Fernando Echavarri Erasum	2008 Summer	Sailing	Gold
Roberto Carlos Echeverra Boutaud	2008 Summer	Athletics	NA
Torsten Eckbrett	2008 Summer	Canoeing	Bronze
Daniel "Danny" Ecker	2008 Summer	Athletics	NA
Maik Eckhardt	2008 Summer	Shooting	NA
Maik Eckhardt	2008 Summer	Shooting	NA
Jessica Jane "Jess" Eddie	2008 Summer	Rowing	NA
Graeme Ede	2008 Summer	Shooting	NA
Graeme Ede	2008 Summer	Shooting	NA
Nufar Edelman	2008 Summer	Sailing	NA
Ross Samuel Edgar	2008 Summer	Cycling	Silver
Tyrone Damien Edgar	2008 Summer	Athletics	NA
Tyrone Damien Edgar	2008 Summer	Athletics	NA
Sophia Jane "Sophie" Edington	2008 Summer	Swimming	NA
Edu Maurice "Mo" Edu	2008 Summer	Football	NA
Mria Teresa Joaquim Eduardo	2008 Summer	Handball	NA
Edith Eduviere	2008 Summer	Football	NA
Anthony John Edwards	2008 Summer	Rowing	NA
Jacqueline Lois Elizabeth "Jackie" Edwards	2008 Summer	Athletics	NA
Michelle Claire Edwards	2008 Summer	Badminton	NA
Steven "Steve" Edwards	2008 Summer	Hockey	NA
Torri Mechelle Edwards	2008 Summer	Athletics	NA
Torri Mechelle Edwards	2008 Summer	Athletics	NA
Konstantina Efedaki	2008 Summer	Athletics	NA
Ilian Ananiev Efremov	2008 Summer	Athletics	NA
Eleftheria Eugenia "Elvira" Efstathiou	2008 Summer	Swimming	NA
Eleftheria Eugenia "Elvira" Efstathiou	2008 Summer	Swimming	NA
Eleftheria Eugenia "Elvira" Efstathiou	2008 Summer	Swimming	NA
Inna Liubomirova Eftimova	2008 Summer	Athletics	NA
Inna Liubomirova Eftimova	2008 Summer	Athletics	NA
Soeli "ga" Garvo Zakrzeski	2008 Summer	Basketball	NA
Kenneth "Kenny" Egan	2008 Summer	Boxing	Silver
Elina Elisabeth Eggers	2008 Summer	Diving	NA
Richard Phillip "Ric" Egington	2008 Summer	Rowing	Silver
Zane Eglte	2008 Summer	Basketball	NA
Doron Egozi	2008 Summer	Shooting	NA
Doron Egozi	2008 Summer	Shooting	NA
Jaana Ehmcke	2008 Summer	Swimming	NA
Jaana Ehmcke	2008 Summer	Swimming	NA
Anda Eibele	2008 Summer	Basketball	NA
Casey Eichfeld	2008 Summer	Canoeing	NA
Florian Eichner	2008 Summer	Rowing	NA
Pia Eidmann	2008 Summer	Hockey	NA
Marta Ejarque Guillamat	2008 Summer	Hockey	NA
Sylwia Ejdys (-Tomaszewska)	2008 Summer	Athletics	NA
Edwin Ekiring	2008 Summer	Badminton	NA
Efioanwan Ekpo	2008 Summer	Football	NA
Emmanuel Ekpo	2008 Summer	Football	Silver
Felix Ekpo	2008 Summer	Weightlifting	NA
Florence Ekpo-Umoh (-Velte-)	2008 Summer	Athletics	NA
Hans Anders Ekstrm	2008 Summer	Sailing	Bronze
Ahmed Moustafa Nasr El-Ahmar	2008 Summer	Handball	NA
Mohamed El-Assri	2008 Summer	Judo	NA
Sara El-Bekri	2008 Summer	Swimming	NA
Sara El-Bekri	2008 Summer	Swimming	NA
Hany El-Fakharany	2008 Summer	Handball	NA
Sofyan El-Gadi	2008 Summer	Swimming	NA
Eman Abdulnabi Ismail El-Gammal	2008 Summer	Fencing	NA
Eman Abdulnabi Ismail El-Gammal	2008 Summer	Fencing	NA
Shaimaa Abdulnabi Ismail El-Gammal	2008 Summer	Fencing	NA
Shaimaa Abdulnabi Ismail El-Gammal	2008 Summer	Fencing	NA
Dalia Muhammad Ahmad El-Gebaly	2008 Summer	Synchronized Swimming	NA
Dalia Muhammad Ahmad El-Gebaly	2008 Summer	Synchronized Swimming	NA
Amro Abdulrahman Ali El-Geziry	2008 Summer	Modern Pentathlon	NA
Ashraf Mohamed El-Meligy El-Gharably	2008 Summer	Wrestling	NA
Omar Ahmed Abdel Latif El-Ghazaly	2008 Summer	Athletics	NA
Mohamed El-Hachimi	2008 Summer	Athletics	NA
Mahmoud El-Haddad	2008 Summer	Weightlifting	NA
Mona Mahmud El-Hawary	2008 Summer	Shooting	NA
Malbas Jamous Nawal El-Jack	2008 Summer	Athletics	NA
Rafed Ziad El-Masri	2008 Summer	Swimming	NA
Mohamed El-Nady	2008 Summer	Swimming	NA
Hamdy El-Safy Awad	2008 Summer	Volleyball	NA
Abdelrahman El-Sayed	2008 Summer	Weightlifting	NA
Aya El-Sayed	2008 Summer	Fencing	NA
Islam Amru Abdallah Ahmad El-Shehaby	2008 Summer	Judo	NA
Ali Zayed Mabrouk El-Zaidi	2008 Summer	Athletics	NA
Mohamed El-Zanaty Monir	2008 Summer	Swimming	NA
Sherine Ahmed El-Zeiny	2008 Summer	Gymnastics	NA
Sherine Ahmed El-Zeiny	2008 Summer	Gymnastics	NA
Sherine Ahmed El-Zeiny	2008 Summer	Gymnastics	NA
Sherine Ahmed El-Zeiny	2008 Summer	Gymnastics	NA
Karim Ahmad Rafa't El-Zoghby	2008 Summer	Equestrianism	NA
Antri Eleftheriou	2008 Summer	Shooting	NA
Philip Yousef Elhage	2008 Summer	Shooting	NA
Kateina Elhotov	2008 Summer	Basketball	NA
Roberto Jos Elas Orozco	2008 Summer	Shooting	NA
Tania Elas Calles Wolf	2008 Summer	Sailing	NA
rey Edda Elsdttir	2008 Summer	Athletics	NA
Valentina Neli Elisei (Ardean-)	2008 Summer	Handball	NA
Daniel Ellensohn	2008 Summer	Football	NA
Walton Glenn Eller, III	2008 Summer	Shooting	Gold
Georgia Ellinaki	2008 Summer	Water Polo	NA
Oliver Eduardo Elliot Baados	2008 Summer	Swimming	NA
Simon John Elliott	2008 Summer	Football	NA
Daniel Ellis	2008 Summer	Cycling	NA
Joanne "Jo" Ellis	2008 Summer	Hockey	NA
Joanne Catherine Ellis	2008 Summer	Hockey	NA
Brady Lee Ellison	2008 Summer	Archery	NA
Brady Lee Ellison	2008 Summer	Archery	NA
Daxenos Richard Ren "Dex" Elmont	2008 Summer	Judo	NA
Guillaume Ricaldo Elmont	2008 Summer	Judo	NA
Damien loi	2008 Summer	Table Tennis	NA
Heikki Elomaa	2008 Summer	Sailing	NA
Ander Elosegi Alkain	2008 Summer	Canoeing	NA
Elgin Tulop Elvais	2008 Summer	Wrestling	NA
Gvrise Emane	2008 Summer	Judo	NA
Emanuel Fernando Scheffler Rego	2008 Summer	Beach Volleyball	Bronze
Martina Emanuel	2008 Summer	Fencing	NA
Urby Vittorrio Diego Emanuelson	2008 Summer	Football	NA
Saleh Mustafa Muhammad Emara	2008 Summer	Wrestling	NA
Uchenna Emedolu	2008 Summer	Athletics	NA
Uchenna Emedolu	2008 Summer	Athletics	NA
Ion Emilianov	2008 Summer	Athletics	NA
Matthew D. "Matt" Emmons	2008 Summer	Shooting	NA
Matthew D. "Matt" Emmons	2008 Summer	Shooting	Silver
Gail Elizabeth Emms	2008 Summer	Badminton	NA
Gail Elizabeth Emms	2008 Summer	Badminton	NA
Naho Emoto	2008 Summer	Softball	Gold
Jonas Ems	2008 Summer	Canoeing	NA
Alexis Enam Mendomo	2008 Summer	Football	NA
Obed Israel Enamorado Palacios	2008 Summer	Football	NA
Ren Enders	2008 Summer	Cycling	Bronze
Yuko Endo	2008 Summer	Rhythmic Gymnastics	NA
Tnu Endrekson	2008 Summer	Rowing	Silver
Stein Endresen	2008 Summer	Equestrianism	NA
Stein Endresen	2008 Summer	Equestrianism	NA
Alexandra Engelhardt (Demmel-)	2008 Summer	Wrestling	NA
Bryan Stanley Tjark Engelhardt	2008 Summer	Baseball	NA
Sabine Englert	2008 Summer	Handball	NA
Mirko Englich	2008 Summer	Wrestling	Silver
Enkhbatyn Badar-Uugan	2008 Summer	Boxing	Gold
Abdelaziz Ennaji El-Idrissi	2008 Summer	Athletics	NA
Delloreen Alverna Ennis-London	2008 Summer	Athletics	NA
Sergi Enrique Montserrat	2008 Summer	Hockey	Silver
Michel Enrquez Tamayo	2008 Summer	Baseball	Silver
Jessica Margareta Enstrm	2008 Summer	Handball	NA
Alberto Entrerros Rodrguez	2008 Summer	Handball	Bronze
Ral Entrerros Rodrguez	2008 Summer	Handball	Bronze
Gwladys Patience pangue	2008 Summer	Taekwondo	Bronze
Marina Erakovic	2008 Summer	Tennis	NA
Dedeh Erawati	2008 Summer	Athletics	NA
Michele Janine Eray	2008 Summer	Canoeing	NA
Michele Janine Eray	2008 Summer	Canoeing	NA
Abby May Erceg	2008 Summer	Football	NA
Tina Erceg	2008 Summer	Gymnastics	NA
Tina Erceg	2008 Summer	Gymnastics	NA
Tina Erceg	2008 Summer	Gymnastics	NA
Tina Erceg	2008 Summer	Gymnastics	NA
Tina Erceg	2008 Summer	Gymnastics	NA
Nataliya Konstantinovna Erdyniyeva	2008 Summer	Archery	NA
Akmal Ergashev	2008 Summer	Taekwondo	NA
Yusuf Gktu Ergin	2008 Summer	Archery	NA
Bret E. Erickson	2008 Summer	Shooting	NA
Christopher "Chris" Erickson	2008 Summer	Athletics	NA
rika Cristiano dos Santos	2008 Summer	Football	Silver
Jens Dyrlv Eriksen	2008 Summer	Badminton	NA
Ulf Peter Tobias Eriksson	2008 Summer	Equestrianism	NA
Ulf Peter Tobias Eriksson	2008 Summer	Equestrianism	NA
Sara Linna Eriksson	2008 Summer	Handball	NA
Trkan Erimi (-zata)	2008 Summer	Athletics	NA
Jonathan Dario Erlich	2008 Summer	Tennis	NA
eref Erolu	2008 Summer	Wrestling	NA
Sara Errani	2008 Summer	Tennis	NA
Scott Erwood	2008 Summer	Cycling	NA
Logona Esau	2008 Summer	Weightlifting	NA
Srgio "Escadinha" Dutra dos Santos	2008 Summer	Volleyball	Silver
Mara Alexandra Escobar Guerrero	2008 Summer	Weightlifting	NA
Luis Ricardo Escobar Torres	2008 Summer	Swimming	NA
Sergi Escobar Roure	2008 Summer	Cycling	NA
Sergi Escobar Roure	2008 Summer	Cycling	NA
Charetzeni Susana Escobar Torres	2008 Summer	Swimming	NA
Charetzeni Susana Escobar Torres	2008 Summer	Swimming	NA
Charetzeni Susana Escobar Torres	2008 Summer	Swimming	NA
Kristine Esebua	2008 Summer	Archery	NA
Christophe Espagnon	2008 Summer	Sailing	NA
Jess Espaa Cobo	2008 Summer	Athletics	NA
Carlos Luciano Espeleta	2008 Summer	Weightlifting	NA
Carlos Mauricio Espnola Lorenzo	2008 Summer	Sailing	Bronze
Paola Milagros Espinosa Snchez	2008 Summer	Diving	NA
Paola Milagros Espinosa Snchez	2008 Summer	Diving	Bronze
Mara del Rosario Espinoza Espinoza	2008 Summer	Taekwondo	Gold
Markus Esser	2008 Summer	Athletics	NA
Thomas Essomba	2008 Summer	Boxing	NA
Tony Estanguet	2008 Summer	Canoeing	NA
Ester Aperecida dos Santos	2008 Summer	Football	Silver
Imara Estvez Ribalta	2008 Summer	Beach Volleyball	NA
Reyes Estvez Lpez	2008 Summer	Athletics	NA
Christopher "Chris" Estrada	2008 Summer	Trampolining	NA
Shawn Estrada	2008 Summer	Boxing	NA
Yunior Estrada Falcn	2008 Summer	Wrestling	NA
Paul Etia Ndoumb	2008 Summer	Rowing	NA
Ginou Etienne	2008 Summer	Athletics	NA
Ophlie-Cyrielle Etienne	2008 Summer	Swimming	NA
Ophlie-Cyrielle Etienne	2008 Summer	Swimming	NA
Ophlie-Cyrielle Etienne	2008 Summer	Swimming	NA
Anouchka Diane Etiennette	2008 Summer	Swimming	NA
Tobias Etter	2008 Summer	Sailing	NA
Hanna Etula	2008 Summer	Shooting	NA
Hanna Etula	2008 Summer	Shooting	NA
Eum Mi-Young	2008 Summer	Hockey	NA
Cadel Lee Evans	2008 Summer	Cycling	NA
Cadel Lee Evans	2008 Summer	Cycling	NA
Carl Evans	2008 Summer	Sailing	NA
Erma-Gene Evans	2008 Summer	Athletics	NA
Scott Evans	2008 Summer	Badminton	NA
Laverne M. Eve	2008 Summer	Athletics	NA
Antti Everi	2008 Summer	Weightlifting	NA
Caroline Frances Evers-Swindell (-Meyer)	2008 Summer	Rowing	Gold
Georgina Emma Buchanan Evers-Swindell (-Earl)	2008 Summer	Rowing	Gold
Jaakko Tommi Kristian Evil	2008 Summer	Athletics	NA
Nelson vora	2008 Summer	Athletics	Gold
Angeliki Exarkhou	2008 Summer	Swimming	NA
Angeliki Exarkhou	2008 Summer	Swimming	NA
Yelena Ezau	2008 Summer	Volleyball	NA
Joy Amechi Eze	2008 Summer	Athletics	NA
Joy Amechi Eze	2008 Summer	Athletics	NA
Mindaugas Eerskis	2008 Summer	Wrestling	NA
Mielis Emalis	2008 Summer	Canoeing	NA
Mielis Emalis	2008 Summer	Canoeing	NA
Hamid Ezzine	2008 Summer	Athletics	NA
Orinoco J. Faamausili-Banse-Prince	2008 Summer	Swimming	NA
Fabiana "Fabi" Alvim de Oliveira	2008 Summer	Volleyball	Gold
Fabiana da Silva Simes	2008 Summer	Football	Silver
Fabiana Marcelino Claudino	2008 Summer	Volleyball	Gold
Fbio Luiz de Jesus Magalhes	2008 Summer	Beach Volleyball	Silver
Alexandre "Alex" Fbregas Carne	2008 Summer	Hockey	Silver
Francisco "Kiko" Fbregas Monegal	2008 Summer	Hockey	Silver
Rexel Ryan Fabriga	2008 Summer	Diving	NA
Andrea Facchin	2008 Summer	Canoeing	NA
Andrea Facchin	2008 Summer	Canoeing	Bronze
Loris Facci	2008 Summer	Swimming	NA
Loris Facci	2008 Summer	Swimming	NA
Martin Fagan	2008 Summer	Athletics	NA
Alice Fagioli	2008 Summer	Canoeing	NA
Gabriella Fagundez	2008 Summer	Swimming	NA
Gabriella Fagundez	2008 Summer	Swimming	NA
Gabriella Fagundez	2008 Summer	Swimming	NA
Jenny Fhndrich	2008 Summer	Cycling	NA
Vigilio Fait	2008 Summer	Shooting	NA
Vigilio Fait	2008 Summer	Shooting	NA
Sharon Paola Fajardo Sierra	2008 Summer	Swimming	NA
Omnia Abdel Khalek Fakhry	2008 Summer	Modern Pentathlon	NA
Natlia Falavigna Silva	2008 Summer	Taekwondo	Bronze
Marinella Falca	2008 Summer	Rhythmic Gymnastics	NA
Ennio Falco	2008 Summer	Shooting	NA
Katelyn Falgowski	2008 Summer	Hockey	NA
Abdellah Falil	2008 Summer	Athletics	NA
Grigory Alekseyevich Falko	2008 Summer	Swimming	NA
Assane Dame Fall	2008 Summer	Canoeing	NA
Assane Dame Fall	2008 Summer	Canoeing	NA
Malick Fall	2008 Summer	Swimming	NA
Emilio Andrs Falla Buchely	2008 Summer	Cycling	NA
Ruwen Faller	2008 Summer	Athletics	NA
Craig Patrick Fallon	2008 Summer	Judo	NA
Stphanie Falzon	2008 Summer	Athletics	NA
Anthony N. Famiglietti	2008 Summer	Athletics	NA
Fang Yanqiao	2008 Summer	Swimming	NA
Fang Yingchao	2008 Summer	Volleyball	NA
ime Fantela	2008 Summer	Sailing	NA
Haiat Farac	2008 Summer	Wrestling	NA
Yasser Fathi Ibrahim Farag	2008 Summer	Athletics	NA
Mahamoud Farah	2008 Summer	Athletics	NA
Mohamed Muktar Jama "Mo" Farah	2008 Summer	Athletics	NA
Ramona Petrua Farcu-Maier	2008 Summer	Handball	NA
Asmahan (Mercedes-) Farhat	2008 Summer	Swimming	NA
Virginia Farmer	2008 Summer	Swimming	NA
Thomas Farnik	2008 Summer	Shooting	NA
Thomas Farnik	2008 Summer	Shooting	NA
Irbek Valentinovich Farniyev	2008 Summer	Wrestling	NA
Luana Faro	2008 Summer	Rhythmic Gymnastics	NA
Stuart James Farquhar	2008 Summer	Athletics	NA
Angela Farrell	2008 Summer	Sailing	NA
Kendrick James Farris	2008 Summer	Weightlifting	NA
Olusoji Adetokumbo Fasuba	2008 Summer	Athletics	NA
Vctor Abel Fatecha Riveros	2008 Summer	Athletics	NA
Olga Aleksandrovna Fateyeva	2008 Summer	Volleyball	NA
Gamal Fathy	2008 Summer	Fencing	NA
Gamal Fathy	2008 Summer	Fencing	NA
Richard Bruce Faulds	2008 Summer	Shooting	NA
Beatrice Roini Liua Faumuina	2008 Summer	Athletics	NA
Nadine Faustin-Parker	2008 Summer	Athletics	NA
Rbert Fazekas	2008 Summer	Athletics	NA
Federico Julin Fazio	2008 Summer	Football	Gold
Nedad Fazlija	2008 Summer	Shooting	NA
Nedad Fazlija	2008 Summer	Shooting	NA
Nedad Fazlija	2008 Summer	Shooting	NA
Claire Febvay	2008 Summer	Diving	NA
Rafa Fedaczyski	2008 Summer	Athletics	NA
Roger Federer	2008 Summer	Tennis	NA
Roger Federer	2008 Summer	Tennis	Gold
Adam Jay Federici	2008 Summer	Football	NA
Aleksandra Andreyevna Fedoriva	2008 Summer	Athletics	NA
Aleksandra Andreyevna Fedoriva	2008 Summer	Athletics	Gold
Yekaterina Igorevna Fedorkina	2008 Summer	Fencing	NA
Olena Olehivna Fedorova	2008 Summer	Diving	NA
Sergey Anatolyevich Fedorovtsev	2008 Summer	Rowing	NA
Vasyl Petrovych Fedoryshyn	2008 Summer	Wrestling	Silver
Pierrick Fdrigo	2008 Summer	Cycling	NA
Alexandra Jane "Lexie" Feeney	2008 Summer	Archery	NA
Alessandro Fei	2008 Summer	Volleyball	NA
Fei Fengji	2008 Summer	Shooting	NA
Benny Feilhaber	2008 Summer	Football	NA
Susana Paula de Jesus Feitor	2008 Summer	Athletics	NA
Ljubomir Fejsa	2008 Summer	Football	NA
Christopher James "Chris" Felgate	2008 Summer	Triathlon	NA
Allyson Michelle Felix	2008 Summer	Athletics	Silver
Allyson Michelle Felix	2008 Summer	Athletics	Gold
Noemi Feliz Garca	2008 Summer	Swimming	NA
Heather Rame Fell	2008 Summer	Modern Pentathlon	Silver
Marouane Fellaini-Bakkioui	2008 Summer	Football	NA
Marloes Fellinger	2008 Summer	Softball	NA
Aaron Feltham	2008 Summer	Water Polo	NA
Maurizio Felugo	2008 Summer	Water Polo	NA
Patrick Oliver Femerling	2008 Summer	Basketball	NA
Feng Chun-Kai	2008 Summer	Cycling	NA
Feng Fei	2008 Summer	Baseball	NA
Feng Kun	2008 Summer	Volleyball	Bronze
Feng Liming	2008 Summer	Canoeing	NA
Feng Tian Wei	2008 Summer	Table Tennis	NA
Feng Tian Wei	2008 Summer	Table Tennis	Silver
Feng Xiaoting	2008 Summer	Football	NA
Feng Yong	2008 Summer	Cycling	NA
Feng Yong	2008 Summer	Cycling	NA
Svetlana Yevgenyevna Feofanova	2008 Summer	Athletics	Bronze
Emilie Fer	2008 Summer	Canoeing	NA
Fabienne Fraez	2008 Summer	Athletics	NA
Maria Ferekidi	2008 Summer	Canoeing	NA
Sheniqua Monique Ferguson	2008 Summer	Athletics	NA
Steven Sean Ferguson	2008 Summer	Canoeing	NA
Steven Sean Ferguson	2008 Summer	Canoeing	NA
Deborah "Debbie" Ferguson-McKenzie	2008 Summer	Athletics	NA
Deborah "Debbie" Ferguson-McKenzie	2008 Summer	Athletics	NA
Bernadett Ferling	2008 Summer	Handball	NA
Fernanda Neves Beling	2008 Summer	Basketball	NA
Andressa Fernandes	2008 Summer	Judo	NA
Emanuel de Jesus R. da Cos Fernandes	2008 Summer	Beach Volleyball	NA
Isabel Samboyo Fernandes	2008 Summer	Handball	NA
Vanessa de Sousa Fernandes	2008 Summer	Triathlon	Silver
Wayne Fernandes	2008 Summer	Hockey	NA
Alberto Fernndez Muoz	2008 Summer	Shooting	NA
Dalixia Fernndez Grosset	2008 Summer	Beach Volleyball	NA
Federico Carlos Fernndez Senderos	2008 Summer	Equestrianism	NA
Federico Carlos Fernndez Senderos	2008 Summer	Equestrianism	NA
Francisco Javier Fernndez Pelez	2008 Summer	Athletics	NA
Mara Isabel Fernndez Gutirrez	2008 Summer	Judo	NA
Jrme Fernandez	2008 Summer	Handball	Gold
Jorge Yadin Fernndez Hernndez	2008 Summer	Athletics	NA
Juan Fernndez la Villa	2008 Summer	Hockey	Silver
Mara del Pilar Fernndez Julin	2008 Summer	Shooting	NA
Mara del Pilar Fernndez Julin	2008 Summer	Shooting	NA
Rodolfo "Rudy" Fernndez Farrs	2008 Summer	Basketball	Silver
Santiago Fernndez	2008 Summer	Rowing	NA
Silvio Ernesto Fernndez Briceo	2008 Summer	Fencing	NA
Silvio Ernesto Fernndez Briceo	2008 Summer	Fencing	NA
